,NAME,CUISINE_LVL1,CUISINE_LVL2,CUISINE_LVL3,COST
9988,Big Bite,Chinese,,,Low
9989,Juice Box,Beverages,Juices,,Low
9990,Shweta'S Healthy Kitchen,North Indian,Mexican,,Low
9991,New Abhishek,North Indian,Chinese,,Low
9992,Cheesy Does It,South Indian,Fast Food,,Low
9993,Satguru Restaurant,North Indian,Chinese,,Low
9994,Jiggy Dosa Centre,South Indian,,,Low
9995,Town Tables,North Indian,Mughlai,,High
9996,Hotel Ratna Park,North Indian,Mughlai,,High
9997,Cookie Me Up,Bakery,,,Low
9998,Sweet Surprise,Ice Cream,Desserts,,Low
10000,Choksi Tiffin & Catering Services,Gujarati,,,High
10001,Vagad Sweets & Namkeen,Mithai,Fast Food,,Low
10002,Jai Malhar Family Restaurant,Maharashtrian,Malwani,Seafood,Low
10003,The Cottage,Street Food,Bengali,Tibetan,High
10004,Flaming Wok,Chinese,,,Low
10005,Sunrise Family Restaurant,Chinese,Continental,North Indian,High
10006,90 Degree Snacks Corner,Street Food,South Indian,Rolls,Low
10007,Bomb Cafe,Beverages,,,Low
10008,Swaad,North Indian,,,Low
10009,Patel Lunch Home,North Indian,Biryani,,Low
10010,Swati Home Foods & Kitchen,Malwani,Maharashtrian,North Indian,Low
10011,Mr. Chow,Chinese,Fast Food,,High
10012,Prithi,Chinese,North Indian,Seafood,High
10013,Manoj Rashpan Grah,Chinese,Street Food,,Low
10014,Sumeet,Chinese,North Indian,South Indian,Low
10016,Sapna Sagar,Chinese,North Indian,,High
10017,Ashoka Restaurant & Bar,Chinese,North Indian,South Indian,High
10018,Aishwarya,Chinese,North Indian,Seafood,High
10019,Manohar Mishthan,Street Food,Fast Food,,High
10020,Padma,Chinese,Maharashtrian,North Indian,High
10021,Varun,Chinese,North Indian,Seafood,Low
10022,Adarsh Veg.,North Indian,South Indian,Chinese,High
10023,China Town,Chinese,North Indian,,Low
10024,Shree Krishna,Chinese,North Indian,Biryani,High
10025,Mayur Bar And Restaurant,North Indian,Chinese,,High
10026,Cake Mania,Bakery,,,Low
